Timestamp,Stage,Duration(ms)
2025-04-04 11:23:36,crawler_initialization,9.00
2025-04-04 11:23:36,file_discovery,14.00
2025-04-04 11:23:36,file_analysis,400.00
2025-04-04 11:23:36,summary_output,0.00
2025-04-04 11:23:36,json_output,0.00
2025-04-04 11:23:36,config_loading,0.00
2025-04-04 11:23:36,initialization,0.00
2025-04-04 11:23:39,crawler_initialization,9.00
2025-04-04 11:23:39,file_discovery,13.00
2025-04-04 11:23:39,file_analysis,393.00
2025-04-04 11:23:39,summary_output,0.00
2025-04-04 11:23:39,json_output,0.00
2025-04-04 11:23:39,logging_setup,0.00
2025-04-04 11:23:39,initialization,0.00
2025-04-04 11:23:39,rule_loading,1.00
2025-04-04 11:23:39,results_processing,0.00
2025-04-04 11:23:39,config_loading,0.00
2025-04-04 11:23:42,config_loading,0.00
2025-04-04 11:23:42,crawler_initialization,9.00
2025-04-04 11:23:42,file_discovery,14.00
2025-04-04 11:23:42,summary_output,0.00
2025-04-04 11:23:42,json_output,0.00
2025-04-04 11:23:42,logging_setup,0.00
2025-04-04 11:23:42,initialization,0.00
2025-04-04 11:23:42,rule_loading,1.00
2025-04-04 11:23:42,file_analysis,398.00
2025-04-04 11:23:42,results_processing,0.00
2025-04-04 11:25:34,summary_output,0.00
2025-04-04 11:25:34,json_output,0.00
2025-04-04 11:25:34,logging_setup,0.00
2025-04-04 11:25:34,rule_loading,1.00
2025-04-04 11:25:34,crawler_initialization,9.00
2025-04-04 11:25:34,file_discovery,13.00
2025-04-04 11:25:34,file_analysis,400.00
2025-04-04 11:25:34,results_processing,0.00
2025-04-04 11:25:34,config_loading,0.00
2025-04-04 11:25:34,initialization,0.00
2025-04-04 11:28:34,config_loading,0.00
2025-04-04 11:28:34,initialization,0.00
2025-04-04 11:28:34,results_processing,0.00
2025-04-04 11:28:34,summary_output,0.00
2025-04-04 11:28:34,logging_setup,0.00
2025-04-04 11:28:34,rule_loading,1.00
2025-04-04 11:28:34,crawler_initialization,9.00
2025-04-04 11:28:34,file_discovery,14.00
2025-04-04 11:28:34,file_analysis,398.00
2025-04-04 11:28:34,json_output,0.00
2025-04-04 11:42:31,initialization,0.00
2025-04-04 11:42:31,crawler_initialization,9.00
2025-04-04 11:42:31,file_analysis,393.00
2025-04-04 11:42:31,results_processing,0.00
2025-04-04 11:42:31,json_output,0.00
2025-04-04 11:42:31,config_loading,0.00
2025-04-04 11:42:31,rule_loading,1.00
2025-04-04 11:42:31,file_discovery,13.00
2025-04-04 11:42:31,summary_output,0.00
2025-04-04 11:42:31,logging_setup,0.00
2025-04-04 11:43:27,json_output,0.00
2025-04-04 11:43:27,config_loading,0.00
2025-04-04 11:43:27,logging_setup,0.00
2025-04-04 11:43:27,crawler_initialization,401.00
2025-04-04 11:43:27,file_analysis,7.00
2025-04-04 11:43:27,results_processing,0.00
2025-04-04 11:43:27,summary_output,0.00
2025-04-04 11:43:27,initialization,0.00
2025-04-04 11:43:27,rule_loading,1.00
2025-04-04 11:43:27,file_discovery,12.00
2025-04-04 11:43:29,file_discovery,12.00
2025-04-04 11:43:29,file_analysis,6.00
2025-04-04 11:43:29,results_processing,0.00
2025-04-04 11:43:29,json_output,0.00
2025-04-04 11:43:29,rule_loading,1.00
2025-04-04 11:43:29,summary_output,0.00
2025-04-04 11:43:29,config_loading,0.00
2025-04-04 11:43:29,logging_setup,0.00
2025-04-04 11:43:29,initialization,0.00
2025-04-04 11:43:29,crawler_initialization,400.00
2025-04-04 11:43:31,rule_loading,1.00
2025-04-04 11:43:31,crawler_initialization,400.00
2025-04-04 11:43:31,file_analysis,6.00
2025-04-04 11:43:31,summary_output,0.00
2025-04-04 11:43:31,config_loading,0.00
2025-04-04 11:43:31,initialization,0.00
2025-04-04 11:43:31,file_discovery,12.00
2025-04-04 11:43:31,results_processing,0.00
2025-04-04 11:43:31,json_output,0.00
2025-04-04 11:43:31,logging_setup,0.00
2025-04-04 11:44:06,file_discovery,12.00
2025-04-04 11:44:06,file_analysis,6.00
2025-04-04 11:44:06,results_processing,0.00
2025-04-04 11:44:06,summary_output,0.00
2025-04-04 11:44:06,json_output,0.00
2025-04-04 11:44:06,config_loading,0.00
2025-04-04 11:44:06,logging_setup,0.00
2025-04-04 11:44:06,initialization,0.00
2025-04-04 11:44:06,rule_loading,1.00
2025-04-04 11:44:06,crawler_initialization,398.00
2025-04-04 11:46:36,file_analysis,7.00
2025-04-04 11:46:36,results_processing,0.00
2025-04-04 11:46:36,summary_output,0.00
2025-04-04 11:46:36,initialization,0.00
2025-04-04 11:46:36,file_discovery,7.00
2025-04-04 11:46:36,json_output,0.00
2025-04-04 11:46:36,config_loading,0.00
2025-04-04 11:46:36,logging_setup,0.00
2025-04-04 11:46:36,rule_loading,1.00
2025-04-04 11:46:36,crawler_initialization,404.00
2025-04-04 11:46:38,summary_output,0.00
2025-04-04 11:46:38,config_loading,0.00
2025-04-04 11:46:38,file_analysis,9.00
2025-04-04 11:46:38,results_processing,0.00
2025-04-04 11:46:38,json_output,0.00
2025-04-04 11:46:38,logging_setup,0.00
2025-04-04 11:46:38,initialization,0.00
2025-04-04 11:46:38,rule_loading,1.00
2025-04-04 11:46:38,crawler_initialization,397.00
2025-04-04 11:46:38,file_discovery,7.00
2025-04-04 11:46:40,file_analysis,8.00
2025-04-04 11:46:40,summary_output,0.00
2025-04-04 11:46:40,config_loading,0.00
2025-04-04 11:46:40,file_discovery,8.00
2025-04-04 11:46:40,results_processing,0.00
2025-04-04 11:46:40,json_output,0.00
2025-04-04 11:46:40,logging_setup,0.00
2025-04-04 11:46:40,initialization,0.00
2025-04-04 11:46:40,rule_loading,1.00
2025-04-04 11:46:40,crawler_initialization,400.00
2025-04-04 11:47:28,config_loading,0.00
2025-04-04 11:47:28,logging_setup,0.00
2025-04-04 11:47:28,file_discovery,9.00
2025-04-04 11:47:28,file_analysis,7.00
2025-04-04 11:47:28,results_processing,0.00
2025-04-04 11:47:28,json_output,0.00
2025-04-04 11:47:28,initialization,0.00
2025-04-04 11:47:28,rule_loading,1.00
2025-04-04 11:47:28,crawler_initialization,399.00
2025-04-04 11:47:28,summary_output,0.00
2025-04-04 11:49:03,logging_setup,0.00
2025-04-04 11:49:03,rule_loading,1.00
2025-04-04 11:49:03,file_discovery,7.00
2025-04-04 11:49:03,results_processing,0.00
2025-04-04 11:49:03,json_output,0.00
2025-04-04 11:49:03,initialization,0.00
2025-04-04 11:49:03,crawler_initialization,400.00
2025-04-04 11:49:03,file_analysis,7.00
2025-04-04 11:49:03,summary_output,0.00
2025-04-04 11:49:03,config_loading,0.00
2025-04-04 11:49:06,logging_setup,0.00
2025-04-04 11:49:06,rule_loading,1.00
2025-04-04 11:49:06,summary_output,0.00
2025-04-04 11:49:06,config_loading,0.00
2025-04-04 11:49:06,initialization,0.00
2025-04-04 11:49:06,crawler_initialization,401.00
2025-04-04 11:49:06,file_discovery,7.00
2025-04-04 11:49:06,file_analysis,7.00
2025-04-04 11:49:06,results_processing,0.00
2025-04-04 11:49:06,json_output,0.00
2025-04-04 11:49:07,config_loading,0.00
2025-04-04 11:49:07,logging_setup,0.00
2025-04-04 11:49:07,initialization,0.00
2025-04-04 11:49:07,rule_loading,1.00
2025-04-04 11:49:07,file_discovery,7.00
2025-04-04 11:49:07,results_processing,0.00
2025-04-04 11:49:07,summary_output,0.00
2025-04-04 11:49:07,crawler_initialization,402.00
2025-04-04 11:49:07,file_analysis,7.00
2025-04-04 11:49:07,json_output,0.00
2025-04-04 11:49:40,crawler_initialization,399.00
2025-04-04 11:49:40,file_discovery,7.00
2025-04-04 11:49:40,file_analysis,7.00
2025-04-04 11:49:40,results_processing,0.00
2025-04-04 11:49:40,json_output,0.00
2025-04-04 11:49:40,config_loading,0.00
2025-04-04 11:49:40,rule_loading,1.00
2025-04-04 11:49:40,summary_output,0.00
2025-04-04 11:49:40,logging_setup,0.00
2025-04-04 11:49:40,initialization,0.00
2025-04-04 13:00:58,logging_setup,0.00
2025-04-04 13:00:58,initialization,0.00
2025-04-04 13:00:58,rule_loading,1.00
2025-04-04 13:00:58,crawler_initialization,10.00
2025-04-04 13:00:58,file_discovery,22.00
2025-04-04 13:00:58,results_processing,0.00
2025-04-04 13:00:58,summary_output,0.00
2025-04-04 13:00:58,json_output,0.00
2025-04-04 13:00:58,config_loading,0.00
2025-04-04 13:00:58,file_analysis,422.00
2025-04-04 13:01:00,logging_setup,0.00
2025-04-04 13:01:00,initialization,0.00
2025-04-04 13:01:00,rule_loading,1.00
2025-04-04 13:01:00,crawler_initialization,10.00
2025-04-04 13:01:00,file_discovery,23.00
2025-04-04 13:01:00,file_analysis,432.00
2025-04-04 13:01:00,results_processing,0.00
2025-04-04 13:01:00,summary_output,0.00
2025-04-04 13:01:00,config_loading,0.00
2025-04-04 13:01:00,json_output,0.00
2025-04-04 13:01:11,initialization,0.00
2025-04-04 13:01:11,rule_loading,1.00
2025-04-04 13:01:11,file_discovery,21.00
2025-04-04 13:01:11,file_analysis,422.00
2025-04-04 13:01:11,results_processing,0.00
2025-04-04 13:01:11,json_output,0.00
2025-04-04 13:01:11,crawler_initialization,9.00
2025-04-04 13:01:11,summary_output,0.00
2025-04-04 13:01:11,config_loading,0.00
2025-04-04 13:01:11,logging_setup,0.00
2025-04-04 13:02:51,file_analysis,419.00
2025-04-04 13:02:51,results_processing,0.00
2025-04-04 13:02:51,config_loading,0.00
2025-04-04 13:02:51,initialization,0.00
2025-04-04 13:02:51,rule_loading,1.00
2025-04-04 13:02:51,crawler_initialization,9.00
2025-04-04 13:02:51,file_discovery,14.00
2025-04-04 13:02:51,summary_output,0.00
2025-04-04 13:02:51,json_output,0.00
2025-04-04 13:02:51,logging_setup,0.00
2025-04-04 13:02:53,summary_output,0.00
2025-04-04 13:02:53,json_output,0.00
2025-04-04 13:02:53,config_loading,0.00
2025-04-04 13:02:53,crawler_initialization,9.00
2025-04-04 13:02:53,file_discovery,14.00
2025-04-04 13:02:53,logging_setup,0.00
2025-04-04 13:02:53,initialization,0.00
2025-04-04 13:02:53,rule_loading,1.00
2025-04-04 13:02:53,file_analysis,423.00
2025-04-04 13:02:53,results_processing,0.00
2025-04-04 13:02:54,rule_loading,1.00
2025-04-04 13:02:54,file_discovery,14.00
2025-04-04 13:02:54,results_processing,0.00
2025-04-04 13:02:54,summary_output,0.00
2025-04-04 13:02:54,json_output,0.00
2025-04-04 13:02:54,crawler_initialization,9.00
2025-04-04 13:02:54,file_analysis,419.00
2025-04-04 13:02:54,config_loading,0.00
2025-04-04 13:02:54,logging_setup,0.00
2025-04-04 13:02:54,initialization,0.00
2025-04-04 13:03:25,initialization,0.00
2025-04-04 13:03:25,crawler_initialization,9.00
2025-04-04 13:03:25,file_discovery,14.00
2025-04-04 13:03:25,summary_output,0.00
2025-04-04 13:03:25,config_loading,0.00
2025-04-04 13:03:25,logging_setup,0.00
2025-04-04 13:03:25,rule_loading,1.00
2025-04-04 13:03:25,file_analysis,410.00
2025-04-04 13:03:25,results_processing,0.00
2025-04-04 13:03:25,json_output,0.00
2025-04-04 13:04:20,file_discovery,13.00
2025-04-04 13:04:20,summary_output,0.00
2025-04-04 13:04:20,json_output,0.00
2025-04-04 13:04:20,logging_setup,0.00
2025-04-04 13:04:20,initialization,0.00
2025-04-04 13:04:20,rule_loading,1.00
2025-04-04 13:04:20,file_analysis,413.00
2025-04-04 13:04:20,results_processing,0.00
2025-04-04 13:04:20,config_loading,0.00
2025-04-04 13:04:20,crawler_initialization,9.00
