timestamp,total_duration_ms,scan_duration_ms,analysis_duration_ms,files_processed,files_per_second_wall_time,cumulative_processing_time_ms,avg_time_per_file_ms,files_per_second_cpu_time,parallel_cores_used,parallel_speedup_factor,parallel_efficiency_percent,slowest_file,slowest_file_duration_ms,total_parse_time_ms,total_semantic_time_ms,avg_parse_time_ms,avg_semantic_time_ms
2025-04-24T15:57:22.488521658+00:00,2,8,48,1394,28690.41,494,0.36,2816.54,24,10.19,42.44,"/home/rryter/projects/myCSS/packages/mycss-app/src/app/features/invoice/_shared/helpers/benefit-invoices.helpers.spec.ts",7,71,77,0.05,0.06
2025-04-24T15:58:51.522857573+00:00,2,8,70,1394,19775.98,570,0.41,2442.29,24,8.10,33.74,"/home/rryter/projects/myCSS/packages/mycss-app/src/app/features/invoice/_shared/helpers/benefit-invoices.helpers.spec.ts",9,76,68,0.05,0.05
